act,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25
walking,4.783633526579005,9.699193332959599,14.368105936404179,18.600005484614137,22.420705253842378,25.857980767622074,28.97339304142378,31.83681016599513,34.484104017967454,36.982187761919704,39.411552448563164,41.60827241694262,43.439304768876234,44.91704349897653,46.07004156861162,46.92908336873261,47.54220022181429,48.0144746356623,48.47544676137594,49.113941155388595,50.08204768254207,51.18117091973188,52.202676264395336,53.042728422582734,53.68870795866979
eating,3.0821124544158325,6.6125624344645555,10.475633003012193,14.443424722932267,18.36324665403586,22.190644107472878,25.88262419107323,29.434361377253143,32.87058671754993,36.212627592540926,39.43831764607935,42.57850457116756,45.59133062641009,48.44824664091002,51.1461670578167,53.68726617253504,56.071503013692876,58.29361510386665,60.43176625804051,62.54014988209246,64.66329126314083,66.7730196295063,68.84210964501727,70.80878154326876,72.6281245124688
smoking,3.0550631667777015,6.528865544532443,10.266907208989396,14.048396063954174,17.758897599953304,21.390091609219354,24.902147072446375,28.301111569441375,31.595838414366263,34.7738865163455,37.820878585383944,40.74117288859154,43.54461089381829,46.230578111192564,48.77810500274894,51.193016817146834,53.46434036686365,55.57825126746013,57.55101048486705,59.433745043443224,61.275629038675895,63.09461833885212,64.9117509307469,66.752365073079,68.59661272926624
discussion,4.479637039685934,10.097254801838282,16.818946144081693,24.283946078143142,32.15526468069279,40.10375117681409,47.8650750725072,55.28847482793819,62.27676987463444,68.76443932410385,74.71792875008065,80.12056401566264,84.98656012789222,89.36130834343551,93.30748430242559,96.8967803004849,100.17704895009031,103.19185396014322,106.02916390592745,108.70641058766451,111.27471569985916,113.75656017157127,116.15251040233099,118.43420063663878,120.6029791288115
directions,3.0119255706869814,6.914554172092014,11.68097563401578,17.063799363308302,22.817456510475477,28.69347372632255,34.49041393340908,40.08944217873711,45.46103961120991,50.60409454924628,55.48624556856463,60.10000965976457,64.4547869352934,68.55160791706659,72.39825643455002,76.02544252601814,79.45299796747967,82.68615557249322,85.72304999200166,88.57966512228056,91.28782613835253,93.8422947130947,96.25370923197079,98.5526307199921,100.73581367269836
greeting,6.73877858513139,14.763413710855245,23.91579787486839,33.75205508826992,43.85931319369297,53.82867074626375,63.40529537245555,72.43222875599555,80.82331347610553,88.55623300040945,95.59784818086102,101.89906995788489,107.48847089596981,112.39938321646876,116.71281430963383,120.4847280156908,123.90512857539775,127.16192978255147,130.39999511033284,133.6514844024187,136.84696461343296,139.8875161770297,142.77017673176474,145.46580271883775,147.88193692969116
phoning,3.927287376090272,8.509641870195878,13.54672216619819,18.822905633451477,24.14036758017098,29.40776333743579,34.564224230868504,39.554283123646506,44.39029370845085,49.07483136394541,53.59033694947371,57.974506485759974,62.18616224315068,66.21418097017275,70.04068177597452,73.65587759210062,77.0976322490683,80.42174653599668,83.61194054221646,86.74484275061694,89.85802091464797,92.9699958844304,96.03682726568795,99.00345003556859,101.83024278712983
posing,4.667909154043576,10.657151920363578,17.95448419339915,26.250269915385516,35.28397165770699,44.76309894263297,54.389133073126004,63.924458363687364,73.2129801170619,82.14212098280078,90.68997333031886,98.81836251507235,106.50634346948686,113.76106666164254,120.61345473899719,127.11890904466439,133.29668110053257,139.15576956893088,144.70914765876205,149.99418170761322,155.07045275656483,159.92986098899718,164.60232344419882,169.09425712168408,173.41154991877679
purchases,5.6635533537340566,12.326366791076426,20.0201314915885,28.399122562159217,36.94426786523888,45.405642650935576,53.58596161381269,61.284625793034806,68.42658160339403,75.0437322289645,81.23885181846296,87.01758985350811,92.41579869451384,97.43397938334695,102.10279652671022,106.45073069543861,110.52730124588658,114.37680984954483,117.99561597749327,121.42416234056735,124.6730464433909,127.7390042890685,130.62744788038648,133.31611369409347,135.75808619646546
sitting,4.473527564714384,9.004646013212565,14.093966421314557,19.612183901098554,25.475174625071634,31.541016349257518,37.681313787334815,43.78098018115392,49.74119855928061,55.52021968969121,61.08955194006203,66.40930096771339,71.47719365750574,76.32086872977347,80.97125211219829,85.44296406207862,89.75751897818063,93.9163536557359,97.91239275721414,101.78141802774407,105.50448038868663,109.09303891080097,112.56877365030003,115.95246605734224,119.25213300423071
sittingdown,7.451505268179947,14.222720766886813,21.256013521978808,28.441654641412516,35.93598305613724,43.59870591485896,51.248761342890894,58.741798664805266,66.03704863348368,73.08860100989763,79.86386964848225,86.42495821923325,92.64065827919173,98.64381678210911,104.37927629223941,109.93563972114833,115.20564034758019,120.33206257159222,125.27620722365407,130.07024392808563,134.79733218338345,139.3867320616767,143.86237146960912,148.23793738366265,152.5386603531286
takingphoto,3.9969722691664935,8.600294726665153,13.740504371092381,19.291479312546535,25.172417002452697,31.228186668176793,37.31053524110897,43.33998463984211,49.23948048175259,55.00625124893242,60.63052147890023,66.0837605936843,71.3376569206596,76.41521511064515,81.2992856106561,85.99575191890767,90.5062005217458,94.87053138823799,99.06551608624956,103.1399139639541,107.1554320348086,111.05855217594824,114.84271441261168,118.55948014984452,122.19644338264278
waiting,4.093125308678467,8.886682282956427,14.309642086959984,20.141619579229317,26.22144618415875,32.39668751719377,38.49794554535041,44.39757310167197,50.029906342389296,55.35311881486839,60.372945127068476,65.09007687246664,69.52247991321718,73.70316337311695,77.65852827629428,81.38119956404005,84.86794133246914,88.126518628686,91.17062020859741,94.02980902892645,96.76128249894225,99.40383653362318,101.98197434733326,104.50488560104625,106.97239909162494
walkingdog,8.835652853395215,18.81615102868659,29.40272959717993,39.98616598479178,50.16890388036073,59.67903442050558,68.33760594932295,76.09631726426409,82.9845063734392,89.16253067373775,94.71872714088867,99.65945206975962,104.12171553111816,108.13539132672156,111.66602502780306,114.79007840143576,117.64224341179147,120.43526153481389,123.30022758105947,126.34984314928381,129.60414285509236,132.97194110536032,136.2502391568071,139.38274797617123,142.26623182966455
walkingtogether,3.9577699497767855,8.762482016427176,13.707045593261718,18.388804234095982,22.654952828543525,26.498053327287945,29.983697248186385,33.19457667759487,36.199982561383926,39.02707414899554,41.71984680175781,44.251992710658484,46.58882524762835,48.700667550223216,50.52614048549107,52.05530517578125,53.30780831473214,54.32288330078125,55.165069580078125,55.96708077566964,56.816237269810266,57.809743129185264,58.98917027064732,60.24185982840402,61.36555193219866
average,4.814563562737069,10.293465427547517,16.370507016289658,22.768388837692857,29.291491238168945,35.772186750799975,42.074541781021125,48.113135112337424,53.85157536616463,59.28746326042662,64.42582636099652,69.25183958652467,73.75345988031548,77.94910117438677,81.84468730147672,85.46951822508025,88.8548124398217,92.05894782376645,95.12114467519133,98.10179279104995,101.04472678542204,103.92652566859178,106.72631834025385,109.42331379748109,111.98169822849789
